fpl_name,fpl_id,understat_name,understat_id
Aaron Wan-Bissaka,579,Aaron Wan-Bissaka,5584.0
Jaroslaw Jach,605,,
Erdal Rakip,606,,
Alexander Sørloth,620,Alexander Sørloth,6531.0
Nya Kirby,630,,
Diego Cavalieri,633,,
James Daly,638,,
Theo Walcott,15,Theo Walcott,503.0
Jordan Pickford,135,Jordan Pickford,741.0
Joel Robles,136,,
Maarten Stekelenburg,137,,
Leighton Baines,138,Leighton Baines,588.0
Seamus Coleman,139,Seamus Coleman,585.0
Phil Jagielka,140,Phil Jagielka,587.0
Matthew Pennington,141,,
Ramiro Funes Mori,142,Ramiro Funes Mori,597.0
Ashley Williams,143,Ashley Williams,709.0
Mason Holgate,144,Mason Holgate,985.0
Jonjoe Kenny,145,Jonjoe Kenny,1084.0
Michael Keane,146,Michael Keane,1653.0
Yannick Bolasie,147,Yannick Bolasie,518.0
Kevin Mirallas,148,Kevin Mirallas,595.0
James McCarthy,150,James McCarthy,589.0
Muhamed Besic,152,Muhamed Besic,908.0
Morgan Schneiderlin,154,Morgan Schneiderlin,551.0
Idrissa Gueye,155,Idrissa Gueye,668.0
Tom Davies,156,Tom Davies,1042.0
Ademola Lookman,157,Ademola Lookman,5556.0
Davy Klaassen,158,Davy Klaassen,6045.0
Dominic Calvert-Lewin,159,Dominic Calvert-Lewin,5555.0
Sandro Ramírez,160,Sandro Ramírez,2537.0
Wayne Rooney,161,Wayne Rooney,629.0
Gylfi Sigurdsson,359,Gylfi Sigurdsson,714.0
Cuco Martina,464,Cuco Martina,832.0
Eliaquim Mangala,502,Eliaquim Mangala,626.0
Nikola Vlasic,539,Nikola Vlasic,6276.0
Oumar Niasse,548,Oumar Niasse,599.0
Beni Baningime,563,Beni Baningime,6384.0
Cenk Tosun,592,Cenk Tosun,6477.0
Luke Garbutt,629,,
Joel Coleman,162,,
Jonas Lössl,163,Jonas Lössl,3468.0
Christopher Schindler,164,Christopher Schindler,6031.0
Chris Löwe,165,Chris Löwe,6032.0
Tommy Smith,166,Tommy Smith,6029.0
Michael Hefele,167,Michael Hefele,6039.0
Martin Cranie,168,Martin Cranie,6344.0
Jon Gorenc Stankovic,169,,
Mark Hudson,170,,
Mathias Jorgensen,171,Zanka,6030
Aaron Mooy,172,Aaron Mooy,6033.0
Rajiv van La Parra,173,Rajiv van La Parra,6036.0
Jonathan Hogg,174,Jonathan Hogg,6301.0
Philip Billing,175,Philip Billing,6034.0
Joe Lolley,176,Joe Lolley,6139.0
Jack Payne,177,,
Dean Whitehead,178,Dean Whitehead,6328.0
Harry Bunn,179,,
Sean Scannell,180,,
Elias Kachunga,181,Elias Kachunga,248.0
Tom Ince,182,Tom Ince,4454.0
Danny Williams,184,Danny Williams,6037.0
Collin Quaner,186,Collin Quaner,6035.0
Laurent Depoitre,187,Laurent Depoitre,6038.0
Steve Mounie,188,Steve Mounie,3800.0
Scott Malone,462,Scott Malone,6040.0
Florent Hadergjonaj,521,Florent Hadergjonaj,5215.0
Abdelhamid Sabiri,522,Abdelhamid Sabiri,6296.0
Robert Green,547,,
Terence Kongolo,591,Terence Kongolo,6067.0
Alex Pritchard,593,Alex Pritchard,815.0
Kasper Schmeichel,189,Kasper Schmeichel,745.0
Ben Hamer,190,Ben Hamer,1759.0
Wes Morgan,191,Wes Morgan,748.0
Christian Fuchs,192,Christian Fuchs,749.0
Danny Simpson,193,Danny Simpson,746.0
Robert Huth,194,,
Yohan Benalouane,195,Yohan Benalouane,974.0
Benjamin Chilwell,196,Ben Chilwell,782.0
Harry Maguire,198,Harry Maguire,1687.0
Riyad Mahrez,199,Riyad Mahrez,750.0
Marc Albrighton,200,Marc Albrighton,753.0
Demarai Gray,203,Demarai Gray,762.0
Daniel Amartey,204,Daniel Amartey,759.0
Nampalys Mendy,205,,
Wilfred Ndidi,206,Wilfred Ndidi,5545.0
Ahmed Musa,207,,
Vicente Iborra,208,Vicente Iborra,2065.0
Jamie Vardy,209,Jamie Vardy,755.0
Shinji Okazaki,211,Shinji Okazaki,754.0
Kelechi Iheanacho,258,Kelechi Iheanacho,620.0
Eldin Jakupovic,473,Eldin Jakupovic,1697.0
Matty James,474,Matthew James,4441.0
Aleksandar Dragovic,541,Aleksandar Dragovic,5219.0
Hamza Choudhury,571,Hamza Choudhury,6418.0
George Thomas,587,,
Adrien Sebastian Perruchet Silva,589,Adrien Silva,6464
Fousseni Diabaté,601,Fousseni Diabate,5767.0
Harvey Barnes,642,Harvey Barnes,6681.0
Sam Hughes,645,,
Layton Ndukwu,647,,
Alex Oxlade-Chamberlain,19,Alex Oxlade-Chamberlain,966.0
Simon Mignolet,213,Simon Mignolet,487.0
Loris Karius,214,Loris Karius,37.0
Dejan Lovren,215,Dejan Lovren,602.0
Alberto Moreno,216,Alberto Moreno,608.0
Nathaniel Clyne,217,Nathaniel Clyne,603.0
Joseph Gomez,218,Joseph Gomez,987.0
Joel Matip,219,Joel Matip,332.0
Ragnar Klavan,220,Ragnar Klavan,265.0
James Milner,222,James Milner,489.0
Trent Alexander-Arnold,223,Trent Alexander-Arnold,1791.0
Leiva Lucas,224,,
Jordan Henderson,225,Jordan Henderson,605.0
Philippe Coutinho,226,Philippe Coutinho,488.0
Emre Can,227,Emre Can,604.0
Adam Lallana,228,Adam Lallana,486.0
Oluwaseyi Ojo,229,,
Sadio Mané,230,Sadio Mané,838.0
Marko Grujic,231,Marko Grujic,1669.0
Georginio Wijnaldum,232,Georginio Wijnaldum,771.0
Ben Woodburn,233,Ben Woodburn,5557.0
Mohamed Salah,234,Mohamed Salah,1250.0
Roberto Firmino,235,Roberto Firmino,482.0
Danny Ings,237,Danny Ings,986.0
Divock Origi,238,Divock Origi,484.0
Dominic Solanke,239,Dominic Solanke,1679.0
Virgil van Dijk,311,Virgil van Dijk,833.0
Andrew Robertson,475,Andrew Robertson,1688.0
Jon Flanagan,514,,
Danny Ward,530,,
Conor Masterson,639,,
Curtis Jones,640,,
Rafael Camacho,641,,
Ederson Santana de Moraes,240,Ederson,6054.0
Claudio Bravo,241,Claudio Bravo,1731.0
John Stones,242,John Stones,586.0
Aleksandar Kolarov,243,,
Vincent Kompany,244,Vincent Kompany,612.0
Nicolás Otamendi,245,Nicolás Otamendi,611.0
Fabian Delph,246,Fabian Delph,876.0
Raheem Sterling,247,Raheem Sterling,618.0
David Silva,248,David Silva,617.0
Gnegneri Yaya Touré,249,Yaya Touré,878.0
Fernando Luiz Rosa,250,Fernandinho,614
Fernando Francisco Reges,251,,
Kevin De Bruyne,252,Kevin De Bruyne,447.0
Ilkay Gündogan,253,Ilkay Gündogan,314.0
Manuel Agudo Durán,254,,
Leroy Sané,255,Leroy Sané,337.0
Bernardo Mota Veiga de Carvalho e Silva,256,Bernardo Silva,3635
Sergio Agüero,257,Sergio Agüero,619.0
Gabriel Fernando de Jesus,259,Gabriel Jesus,5543
Kyle Walker,379,Kyle Walker,638.0
Danilo Luiz da Silva,483,Danilo,2244
Benjamin Mendy,484,Benjamin Mendy,3389.0
Phil Foden,492,Phil Foden,6055.0
Brahim Diaz,493,Brahim Diaz,6421.0
Oleksandr Zinchenko,551,Oleksandr Zinchenko,2958.0
Oluwatosin Adarabioyo,586,,
Aymeric Laporte,612,Aymeric Laporte,2498.0
Lukas Nmecha,627,Lukas Nmecha,6544.0
Alexis Sánchez,14,Alexis Sánchez,498.0
Nemanja Matic,107,Nemanja Matic,697.0
David De Gea,260,David de Gea,546.0
Sergio Romero,261,Sergio Romero,560.0
Joel Dinis Castro Pereira,262,,
Chris Smalling,263,Chris Smalling,628.0
Phil Jones,264,Phil Jones,951.0
Luke Shaw,265,Luke Shaw,1006.0
Marcos Rojo,266,Marcos Rojo,550.0
Antonio Valencia,267,Antonio Valencia,627.0
Matteo Darmian,268,Matteo Darmian,557.0
Daley Blind,270,Daley Blind,548.0
Eric Bailly,271,Eric Bailly,1739.0
Axel Tuanzebe,272,Axel Tuanzebe,934.0
Victor Lindelöf,273,Victor Lindelöf,6080.0
Juan Mata,274,Juan Mata,554.0
Marouane Fellaini,275,Marouane Fellaini,630.0
Michael Carrick,276,Michael Carrick,654.0
Ashley Young,277,Ashley Young,631.0
Ander Herrera,278,Ander Herrera,552.0
Jesse Lingard,279,Jesse Lingard,558.0
Anthony Martial,280,Anthony Martial,553.0
Paul Pogba,282,Paul Pogba,1740.0
Scott McTominay,283,Scott McTominay,5560.0
Marcus Rashford,284,Marcus Rashford,556.0
Romelu Lukaku,285,Romelu Lukaku,594.0
Andreas Pereira,476,,
Zlatan Ibrahimovic,523,Zlatan Ibrahimovic,1741.0
Robert Kenedy Nunes do Nascimento,110,Kenedy,689
Islam Slimani,212,Islam Slimani,1682.0
Robert Elliot,286,Robert Elliot,763.0
Karl Darlow,287,Karl Darlow,780.0
DeAndre Yedlin,288,DeAndre Yedlin,727.0
Ciaran Clark,289,Ciaran Clark,875.0
Jamaal Lascelles,290,Jamaal Lascelles,766.0
Paul Dummett,291,Paul Dummett,853.0
Grant Hanley,292,,
Jesús Gámez Duarte,293,Jesús Gámez,2329.0
Florian Lejeune,294,Florian Lejeune,5073.0
Matt Ritchie,295,Matt Ritchie,461.0
Jonjo Shelvey,296,Jonjo Shelvey,769.0
Yoan Gouffran,297,,
Mohamed Diamé,298,Mohamed Diamé,4471.0
Jack Colback,299,,
Christian Atsu,300,Christian Atsu,2344.0
Dwight Gayle,301,Dwight Gayle,743.0
Ayoze Pérez,302,Ayoze Pérez,770.0
Aleksandar Mitrovic,303,Aleksandar Mitrovic,773.0
Daryl Murphy,304,,
Massadio Haidara,465,Massadio Haidara,943.0
Siem de Jong,466,,
Rolando Aarons,467,Rolando Aarons,915.0
Javier Manquillo,477,Javier Manquillo,1719.0
Jacob Murphy,478,Jacob Murphy,6063.0
Jose Luis Mato Sanmartín,488,Joselu,866
Chancel Mbemba,494,Chancel Mbemba,849.0
Mikel Merino,495,Mikel Merino,5304.0
Isaac Hayden,496,Isaac Hayden,6062.0
Henri Saivet,516,Henri Saivet,778.0
Freddie Woodman,529,,
Martin Dubravka,621,Martin Dubravka,6532.0
Alex McCarthy,305,Alex McCarthy,635.0
Fraser Forster,306,Fraser Forster,831.0
Ryan Bertrand,307,Ryan Bertrand,835.0
Maya Yoshida,308,Maya Yoshida,845.0
Matt Targett,309,Matt Targett,884.0
Cédric Soares,310,Cédric Soares,847.0
Jérémy Pied,312,Jérémy Pied,1784.0
Jack Stephens,313,Jack Stephens,1735.0
Sam McQueen,314,Sam McQueen,1733.0
Jan Bednarek,315,Jan Bednarek,6042.0
Steven Davis,316,Steven Davis,883.0
James Ward-Prowse,317,James Ward-Prowse,843.0
Dusan Tadic,318,Dusan Tadic,840.0
Jordy Clasie,319,,
Oriol Romeu Vidal,320,Oriol Romeu,842.0
Pierre-Emile Højbjerg,321,Pierre-Emile Højbjerg,343.0
Sofiane Boufal,322,Sofiane Boufal,1734.0
Joshua Sims,323,Josh Sims,5565.0
Nathan Redmond,324,Nathan Redmond,790.0
Shane Long,325,Shane Long,839.0
Charlie Austin,326,Charlie Austin,848.0
Manolo Gabbiadini,327,Manolo Gabbiadini,1383.0
Mario Lemina,500,Mario Lemina,1299.0
Stuart Taylor,506,,
Wesley Hoedt,525,Wesley Hoedt,1203.0
Michael Obafemi,603,Michael Obafemi,6504.0
Guido Carrillo,607,Guido Carrillo,3424.0
Kurt Zouma,99,Kurt Zouma,935.0
Jack Butland,328,Jack Butland,856.0
Lee Grant,329,Lee Grant,1742.0
Ryan Shawcross,330,Ryan Shawcross,886.0
Geoff Cameron,331,Geoff Cameron,859.0
Erik Pieters,332,Erik Pieters,887.0
Marc Muniesa,333,,
Glen Johnson,335,Glen Johnson,944.0
Josh Tymon,336,Josh Tymon,1745.0
Joe Allen,337,Joe Allen,480.0
Charlie Adam,338,Charlie Adam,873.0
Glenn Whelan,339,,
Ibrahim Afellay,341,Ibrahim Afellay,864.0
Xherdan Shaqiri,342,Xherdan Shaqiri,888.0
Giannelli Imbula,343,,
Bojan Krkic Perez,344,Bojan,871.0
Ramadan Sobhi,345,Ramadan Sobhi,1764.0
Darren Fletcher,346,Darren Fletcher,809.0
Peter Crouch,347,Peter Crouch,872.0
Mame Biram Diouf,348,Mame Biram Diouf,868.0
Saido Berahino,349,Saido Berahino,811.0
Kevin Wimmer,383,Kevin Wimmer,650.0
Eric Maxim Choupo-Moting,497,Eric Maxim Choupo-Moting,339.0
Jesé Rodríguez Ruiz,512,Jesé,2256.0
Bruno Martins Indi,513,Bruno Martins Indi,1743.0
Harry Souttar,550,,
Thomas Edwards,556,Thomas Edwards,5593.0
Julien Ngoy,562,Julien Ngoy,1777.0
Jakob Haugaard,569,,
Stephen Ireland,590,Stephen Ireland,867.0
Moritz Bauer,594,Moritz Bauer,5453.0
Konstantinos Stafylidis,599,Konstantinos Stafylidis,368.0
Papa Alioune Ndiaye,619,Badou Ndiaye,6525.0
Tyrese Campbell,628,Tyrese Campbell,6561.0
Lasse Sorenson,637,Lasse Sorenson,6657.0
Andy King,201,Andy King,784.0
Lukasz Fabianski,350,Lukasz Fabianski,706.0
Kristoffer Nordfeldt,351,,
Kyle Naughton,352,Kyle Naughton,718.0
Angel Rangel,353,Angel Rangel,707.0
Federico Fernández,354,Federico Fernández,708.0
Stephen Kingsley,355,,
Mike van der Hoorn,356,Mike van der Hoorn,1702.0
Alfie Mawson,357,Alfie Mawson,1727.0
Martin Olsson,358,Martin Olsson,798.0
Wayne Routledge,360,Wayne Routledge,719.0
Leon Britton,361,Leon Britton,830.0
Jay Fulton,362,Jay Fulton,896.0
Sung-yueng Ki,363,Ki Sung-yueng,723.0
Jefferson Montero,364,,
Leroy Fer,365,Leroy Fer,711.0
Nathan Dyer,366,Nathan Dyer,783.0
Tom Carroll,367,Tom Carroll,653.0
Modou Barrow,368,,
Luciano Narsingh,369,Luciano Narsingh,5554.0
Roque Mesa,370,Roque Mesa,2356.0
Oliver McBurnie,372,Oliver McBurnie,1736.0
Jordan Ayew,373,Jordan Ayew,672.0
Tammy Abraham,374,Tammy Abraham,702.0
André Ayew,449,André Ayew,713.0
Kyle Bartley,485,Kyle Bartley,964.0
Sam Clucas,519,Sam Clucas,1690.0
Renato Sanches,535,Renato Sanches,5228.0
Wilfried Bony,542,Wilfried Bony,622.0
Joe Rodon,561,,
Erwin Mulder,576,,
Connor Roberts,598,Connor Roberts,5568.0
Fernando Llorente,371,Fernando Llorente,1728.0
Hugo Lloris,375,Hugo Lloris,637.0
Michel Vorm,376,Michel Vorm,651.0
Toby Alderweireld,377,Toby Alderweireld,639.0
Danny Rose,378,Danny Rose,641.0
Jan Vertonghen,380,Jan Vertonghen,640.0
Ben Davies,381,Ben Davies,660.0
Kieran Trippier,382,Kieran Trippier,652.0
Eric Dier,384,Eric Dier,643.0
Mousa Dembélé,385,Mousa Dembélé,642.0
Erik Lamela,386,Erik Lamela,644.0
Christian Eriksen,387,Christian Eriksen,646.0
Bamidele Alli,388,Dele Alli,645.0
Victor Wanyama,389,Victor Wanyama,836.0
Heung-Min Son,390,Son Heung-Min,453.0
Harry Winks,391,Harry Winks,971.0
Moussa Sissoko,393,Moussa Sissoko,772.0
Harry Kane,394,Harry Kane,647.0
Vincent Janssen,395,Vincent Janssen,1730.0
Kyle Walker-Peters,498,Kyle Walker-Peters,885.0
Cameron Carter-Vickers,511,,
Davinson Sánchez,520,Davinson Sánchez,6249.0
Tashan Oakley-Boothe,531,,
Serge Aurier,532,Serge Aurier,3600.0
Juan Foyth,534,,
Paulo Gazzaniga,565,Paulo Gazzaniga,973.0
Alfie Whiteman,566,,
Lucas Rodrigues Moura da Silva,617,Lucas Moura,3293.0
Kazaiah Sterling,643,,
Andre Gray,92,Andre Gray,1660.0
Nathaniel Chalobah,112,Nathaniel Chalobah,1677.0
Molla Wagué,197,Molla Wagué,1159.0
Costel Pantilimon,396,,
Heurelho Gomes,397,Heurelho Gomes,564.0
Younes Kaboul,398,Younes Kaboul,736.0
Craig Cathcart,399,Craig Cathcart,581.0
Sebastian Prödl,400,Sebastian Prödl,566.0
José Holebas,401,José Holebas,568.0
Miguel Britos,402,Miguel Britos,567.0
Christian Kabasele,403,Christian Kabasele,1725.0
Daryl Janmaat,404,Daryl Janmaat,764.0
Adrian Mariappa,405,Adrian Mariappa,524.0
Brandon Mason,406,,
Francisco Femenía Far,407,Kiko Femenía,5043
Tom Cleverley,408,Tom Cleverley,596.0
Etienne Capoue,409,Etienne Capoue,572.0
Valon Behrami,410,,
Steven Berghuis,411,,
Nordin Amrabat,412,Nordin Amrabat,575.0
Isaac Success,413,,
Abdoulaye Doucouré,414,Abdoulaye Doucouré,1726.0
Roberto Pereyra,415,Roberto Pereyra,1723.0
Will Hughes,416,Will Hughes,6104.0
Troy Deeney,417,Troy Deeney,574.0
Stefano Okaka,418,Stefano Okaka,1763.0
Mauro Zárate,419,,
Ben Watson,486,Ben Watson,571.0
Jerome Sinclair,499,Jerome Sinclair,972.0
Richarlison de Andrade,501,Richarlison,6026.0
André Carrillo,527,André Carrillo,6230.0
Orestis Karnezis,536,Orestis Karnezis,1138.0
Marvin Zeegelaar,537,Marvin Zeegelaar,6303.0
Michael Folivi,581,,
Daniel Bachmann,582,,
Gerard Deulofeu,609,Gerard Deulofeu,591.0
Carl Stewart,613,,
Dodi Lukebakio,615,Dodi Lukebakio,5706.0
Didier Ndong,618,,
Joy Mukena,625,,
Kieran Gibbs,8,Kieran Gibbs,545.0
Gareth Barry,151,Gareth Barry,590.0
Daniel Sturridge,236,Daniel Sturridge,483.0
Boaz Myhill,420,Boaz Myhill,820.0
Ben Foster,421,Ben Foster,803.0
Allan-Roméo Nyom,422,Nyom,565.0
Jonny Evans,423,Jonny Evans,807.0
Craig Dawson,424,Craig Dawson,804.0
Gareth McAuley,425,Gareth McAuley,806.0
Jake Livermore,426,Jake Livermore,1689.0
Nacer Chadli,427,Nacer Chadli,648.0
James Morrison,428,James Morrison,990.0
Claudio Yacob,429,Claudio Yacob,808.0
James McClean,430,James McClean,814.0
Jonathan Leko,431,,
Matt Phillips,432,Matt Phillips,1737.0
Sam Field,433,Sam Field,1013.0
Chris Brunt,434,Chris Brunt,904.0
Salomón Rondón,435,Salomón Rondón,813.0
Hal Robson-Kanu,436,Hal Robson-Kanu,1738.0
Jay Rodriguez,437,Jay Rodriguez,844.0
Ahmed El-Sayed Hegazi,468,Ahmed Hegazy,3979
Rekeem Harper,507,Rekeem Harper,5562.0
Kane Wilson,508,,
Oliver Burke,524,Oliver Burke,5256.0
Grzegorz Krychowiak,533,Grzegorz Krychowiak,2414.0
Alex Palmer,557,,
Max Melbourne,572,,
Rayhaan Tulloch,577,,
Nathan Ferguson,578,,
Ali Gabr,610,,
Kyle Jameson,624,,
Marko Arnautovic,340,Marko Arnautovic,865.0
Adrián San Miguel del Castillo,438,Adrián,527.0
Darren Randolph,439,,
Jose Fonte,440,José Fonte,834.0
James Collins,441,James Collins,655.0
Winston Reid,442,Winston Reid,529.0
Aaron Cresswell,443,Aaron Cresswell,534.0
Angelo Ogbonna,444,Angelo Ogbonna,528.0
Sam Byram,445,Sam Byram,902.0
Arthur Masuaku,446,Arthur Masuaku,1760.0
Pablo Zabaleta,447,Pablo Zabaleta,610.0
Robert Snodgrass,448,,
Mark Noble,450,Mark Noble,533.0
